nombreequipo,nombrejugador,preciojugador,fechanacimiento,edad,nacionalidad,altura,posicion,partidosjugados,valoracionpromedio,totalgoles,totalpasesgol,totalgolesrecibidos,porteriaimbatida,minutosjugados
RasenBallsport Leipzig,Josep Martínez,2.5,27/05/1998,22,España,1.91,Portero,87,139,0,0,85,33,7.785'
RasenBallsport Leipzig,Philipp Tschauner,0.33,03/11/1985,35,Alemania,1.96,Portero,361,144,1,0,463,104,32.291'
RasenBallsport Leipzig,Dayot Upamecano,60,27/10/1998,22,Francia,1.86,Defensa central,188,172,5,5,0,0,15.333'
RasenBallsport Leipzig,Ibrahima Konaté,35,25/05/1999,21,Francia,1.94,Defensa central,105,178,5,1,0,0,8.164'
RasenBallsport Leipzig,Lukas Klostermann,32,03/06/1996,24,Alemania,1.89,Defensa central,257,184,19,13,0,0,19.997'
RasenBallsport Leipzig,Willi Orban,14,03/11/1992,28,Hungría,1.86,Defensa central,378,180,46,13,0,0,31.190'
RasenBallsport Leipzig,Angeliño,35,04/01/1997,24,España,1.71,Lateral izquierdo,242,167,19,51,0,0,20.490'
RasenBallsport Leipzig,Marcel Halstenberg,17,27/09/1991,29,Alemania,1.88,Lateral izquierdo,399,166,34,30,0,0,33.399'
RasenBallsport Leipzig,Nordi Mukiele,23,01/11/1997,23,Francia,1.87,Lateral derecho,196,169,10,9,0,0,14.837'
RasenBallsport Leipzig,Benjamin Henrichs,12,23/02/1997,24,Alemania,1.83,Lateral derecho,240,154,20,31,0,0,18.258'
RasenBallsport Leipzig,Tyler Adams,20,14/02/1999,22,Estados Unidos,1.76,Pivote,170,200,8,13,0,0,12.982'
RasenBallsport Leipzig,Marcel Sabitzer,42,17/03/1994,27,Austria,1.77,Mediocentro,382,182,99,78,0,0,28.635'
RasenBallsport Leipzig,Konrad Laimer,26,27/05/1997,23,Austria,1.8,,0,0,0,0,0,0,0
RasenBallsport Leipzig,Amadou Haidara,22,31/01/1998,23,Malí,1.75,Mediocentro,188,220,22,27,0,0,11.762'
RasenBallsport Leipzig,Kevin Kampl,14,09/10/1990,30,Eslovenia,1.78,Mediocentro,449,186,57,101,0,0,34.980'
RasenBallsport Leipzig,Dominik Szoboszlai,25,25/10/2000,20,Hungría,1.87,Interior izquierdo,131,198,43,52,0,0,9.327'
RasenBallsport Leipzig,Christopher Nkunku,40,14/11/1997,23,Francia,1.75,Mediocentro ofensivo,174,225,34,34,0,0,9.845'
RasenBallsport Leipzig,Dani Olmo,38,07/05/1998,22,España,1.79,Mediocentro ofensivo,215,204,47,41,0,0,15.289'
RasenBallsport Leipzig,Lazar Samardzic,3,24/02/2002,19,Alemania,1.84,Mediocentro ofensivo,73,212,56,25,0,0,5.079'
RasenBallsport Leipzig,Joscha Wosz,0.4,20/07/2002,18,Alemania,1.73,Mediocentro ofensivo,57,182,23,6,0,0,3.731'
RasenBallsport Leipzig,Emil Forsberg,20,23/10/1991,29,Suecia,1.79,Extremo izquierdo,399,176,96,79,0,0,27.062'
RasenBallsport Leipzig,Justin Kluivert,14,05/05/1999,21,Países Bajos,1.71,Extremo izquierdo,185,199,39,41,0,0,11.425'
RasenBallsport Leipzig,Fabrice Hartmann,0.35,02/03/2001,20,Alemania,1.78,Extremo derecho,108,210,58,12,0,0,6.881'
RasenBallsport Leipzig,Yussuf Poulsen,25,15/06/1994,26,Dinamarca,1.92,Delantero centro,343,179,96,68,0,0,23.976'
RasenBallsport Leipzig,Alexander Sörloth,18,05/12/1995,25,Noruega,1.94,Delantero centro,231,160,79,37,0,0,14.075'
RasenBallsport Leipzig,Hee-chan Hwang,11,26/01/1996,25,Corea del Sur,1.77,Delantero centro,197,209,62,40,0,0,11.154'
RasenBallsport Leipzig,Hugo Novoa,0.2,24/01/2003,18,España,1.82,Delantero centro,25,232,6,9,0,0,1.556'
Arsenal FC,Bernd Leno,25,04/03/1992,29,Alemania,1.9,Portero,506,168,0,0,605,158,45.422'
Arsenal FC,Mathew Ryan,6,08/04/1992,29,Australia,1.84,Portero,367,155,0,0,431,118,33.150'
Arsenal FC,Rúnar Alex Rúnarsson,1.8,18/02/1995,26,Islandia,1.86,Portero,122,129,0,0,203,22,10.742'
Arsenal FC,Dejan Iliev,0.3,25/02/1995,26,Macedonia del Norte,1.95,Portero,72,144,0,0,110,19,6.285'
Arsenal FC,Gabriel,25,19/12/1997,23,Brasil,1.9,Defensa central,113,157,8,1,0,0,9.648'
Arsenal FC,Rob Holding,16,20/09/1995,25,Inglaterra,1.89,Defensa central,172,166,7,3,0,0,14.141'
Arsenal FC,Calum Chambers,12,20/01/1995,26,Inglaterra,1.82,Defensa central,225,153,11,12,0,0,16.832'
Arsenal FC,Pablo Marí,7,31/08/1993,27,España,1.93,Defensa central,292,162,18,2,0,0,25.061'
Arsenal FC,David Luiz,5,22/04/1987,33,Brasil,1.89,Defensa central,539,204,36,26,0,0,45.813'
Arsenal FC,Kieran Tierney,30,05/06/1997,23,Escocia,1.8,Lateral izquierdo,229,204,11,45,0,0,18.880'
Arsenal FC,Héctor Bellerín,25,19/03/1995,26,España,1.78,Lateral derecho,279,181,14,36,0,0,22.645'
Arsenal FC,Cédric Soares,6,31/08/1991,29,Portugal,1.71,Lateral derecho,300,155,6,27,0,0,24.817'
Arsenal FC,Thomas Partey,45,13/06/1993,27,Ghana,1.85,Pivote,312,171,29,16,0,0,21.380'
Arsenal FC,Granit Xhaka,22,27/09/1992,28,Suiza,1.86,Pivote,455,185,36,35,0,0,35.614'
Arsenal FC,Mohamed Elneny,10,11/07/1992,28,Egipto,1.79,Pivote,340,192,18,23,0,0,23.738'
Arsenal FC,Dani Ceballos,30,07/08/1996,24,España,1.79,Mediocentro,234,171,14,15,0,0,14.427'
Arsenal FC,Martin Ødegaard,40,17/12/1998,22,Noruega,1.78,Mediocentro ofensivo,229,154,33,40,0,0,16.742'
Arsenal FC,Emile Smith Rowe,13,28/07/2000,20,Inglaterra,1.82,Mediocentro ofensivo,111,183,28,17,0,0,7.572'
Arsenal FC,Gabriel Martinelli,22,18/06/2001,19,Brasil,1.8,Extremo izquierdo,38,137,10,5,0,0,1.868'
Arsenal FC,Bukayo Saka,60,05/09/2001,19,Inglaterra,1.78,Extremo derecho,129,174,32,35,0,0,9.066'
Arsenal FC,Nicolas Pépé,38,29/05/1995,25,Costa de Marfil,1.83,Extremo derecho,234,156,63,35,0,0,15.133'
Arsenal FC,Willian,12,09/08/1988,32,Brasil,1.75,Extremo derecho,624,205,103,140,0,0,41.984'
Arsenal FC,Reiss Nelson,10,10/12/1999,21,Inglaterra,1.75,Extremo derecho,143,169,36,16,0,0,8.224'
Arsenal FC,Alexandre Lacazette,35,28/05/1991,29,Francia,1.76,Delantero centro,437,171,190,71,0,0,30.993'
Arsenal FC,Pierre-Emerick Aubameyang,35,18/06/1989,31,Gabón,1.87,Delantero centro,554,169,286,86,0,0,42.070'
Arsenal FC,Eddie Nketiah,18,30/05/1999,21,Inglaterra,1.8,Delantero centro,138,186,63,13,0,0,7.364'
SSC Nápoles,Alex Meret,20,22/03/1997,24,Italia,1.9,Portero,159,174,0,0,179,51,14.119'
SSC Nápoles,David Ospina,5,31/08/1988,32,Colombia,1.83,Portero,349,154,0,0,389,122,30.771'
SSC Nápoles,Nikita Contini,0.5,21/05/1996,24,Italia,1.9,Portero,198,145,0,0,248,68,17.648'
SSC Nápoles,Kalidou Koulibaly,50,20/06/1991,29,Senegal,1.87,Defensa central,412,183,15,10,0,0,35.957'
SSC Nápoles,Konstantinos Manolas,28,14/06/1991,29,Grecia,1.89,Defensa central,429,186,24,8,0,0,36.239'
SSC Nápoles,Nikola Maksimovic,12,25/11/1991,29,Serbia,1.93,Defensa central,288,166,6,9,0,0,23.430'
SSC Nápoles,Amir Rrahmani,12,24/02/1994,27,Kosovo,1.92,Defensa central,246,171,9,7,0,0,21.016'
SSC Nápoles,Mário Rui,10,27/05/1991,29,Portugal,1.68,Lateral izquierdo,325,144,6,16,0,0,24.335'
SSC Nápoles,Faouzi Ghoulam,3,01/02/1991,30,Argelia,1.84,Lateral izquierdo,297,181,4,36,0,0,23.156'
SSC Nápoles,Giovanni Di Lorenzo,22,04/08/1993,27,Italia,1.83,Lateral derecho,374,140,17,30,0,0,32.341'
SSC Nápoles,Elseid Hysaj,14,02/02/1994,27,Albania,1.82,Lateral derecho,351,189,3,12,0,0,29.024'
SSC Nápoles,Tiemoué Bakayoko,25,17/08/1994,26,Francia,1.89,Pivote,264,183,12,9,0,0,19.301'
SSC Nápoles,Diego Demme,15,21/11/1991,29,Alemania,1.7,Pivote,421,160,10,25,0,0,31.531'
SSC Nápoles,Stanislav Lobotka,11,25/11/1994,26,Eslovaquia,1.72,Pivote,304,155,6,13,0,0,22.513'
SSC Nápoles,Piotr Zielinski,46,20/05/1994,26,Polonia,1.8,Mediocentro,342,175,45,32,0,0,21.893'
SSC Nápoles,Fabián Ruiz,44,03/04/1996,25,España,1.89,Mediocentro,219,167,20,19,0,0,15.769'
SSC Nápoles,Karim Zedadka,0.1,09/06/2000,20,Francia,1.82,Interior izquierdo,51,98,2,8,0,0,3.776'
SSC Nápoles,Eljif Elmas,18,24/09/1999,21,Macedonia del Norte,1.82,Mediocentro ofensivo,166,164,16,11,0,0,8.649'
SSC Nápoles,Lorenzo Insigne,48,04/06/1991,29,Italia,1.63,Extremo izquierdo,509,189,164,98,0,0,36.286'
SSC Nápoles,Antonio Cioffi,0.4,19/12/2002,18,Italia,1.8,Extremo izquierdo,53,149,18,5,0,0,3.445'
SSC Nápoles,Hirving Lozano,45,30/07/1995,25,México,1.75,Extremo derecho,295,173,101,60,0,0,21.767'
SSC Nápoles,Matteo Politano,25,03/08/1993,27,Italia,1.71,Extremo derecho,398,165,74,37,0,0,24.737'
SSC Nápoles,Victor Osimhen,50,29/12/1998,22,Nigeria,1.86,Delantero centro,111,159,42,11,0,0,7.482'
SSC Nápoles,Andrea Petagna,17,30/06/1995,25,Italia,1.9,Delantero centro,301,145,74,26,0,0,19.423'
SSC Nápoles,Dries Mertens,12,06/05/1987,33,Bélgica,1.69,Delantero centro,637,176,232,176,0,0,45.770'
AC Milan,Gianluigi Donnarumma,60,25/02/1999,22,Italia,1.96,Portero,252,173,0,0,272,86,22.537'
AC Milan,Ciprian Tatarusanu,0.7,09/02/1986,35,Rumania,1.98,Portero,413,170,0,0,417,153,36.941'
AC Milan,Antonio Donnarumma,0.3,07/07/1990,30,Italia,1.92,Portero,136,126,0,0,182,41,12.293'
AC Milan,Alessio Romagnoli,30,12/01/1995,26,Italia,1.85,Defensa central,279,178,14,4,0,0,23.795'
AC Milan,Fikayo Tomori,20,19/12/1997,23,Inglaterra,1.84,Defensa central,193,165,11,5,0,0,15.874'
AC Milan,Simon Kjaer,10,26/03/1989,32,Dinamarca,1.91,Defensa central,459,171,21,9,0,0,38.678'
AC Milan,Matteo Gabbia,9,21/10/1999,21,Italia,1.85,Defensa central,120,168,6,3,0,0,9.400'
AC Milan,Theo Hernández,50,06/10/1997,23,Francia,1.84,Lateral izquierdo,173,176,17,21,0,0,14.469'
AC Milan,Davide Calabria,25,06/12/1996,24,Italia,1.76,Lateral derecho,194,180,10,10,0,0,14.801'
AC Milan,Diogo Dalot,10,18/03/1999,22,Portugal,1.83,Lateral derecho,106,183,7,15,0,0,7.802'
AC Milan,Pierre Kalulu,7,05/06/2000,20,Francia,1.79,Lateral derecho,67,152,1,3,0,0,5.429'
AC Milan,Ismaël Bennacer,40,01/12/1997,23,Argelia,1.75,Pivote,190,164,7,15,0,0,14.348'
AC Milan,Sandro Tonali,32,08/05/2000,20,Italia,1.81,Pivote,177,141,18,18,0,0,13.695'
AC Milan,Franck Kessié,50,19/12/1996,24,Costa de Marfil,1.83,Mediocentro,250,182,37,18,0,0,20.357'
AC Milan,Rade Krunic,6,07/10/1993,27,Bosnia y Herzegovina,1.84,Mediocentro,239,141,22,27,0,0,16.058'
AC Milan,Soualiho Meïté,5,17/03/1994,27,Francia,1.87,Mediocentro,254,152,8,12,0,0,16.978'
AC Milan,Hakan Calhanoglu,35,08/02/1994,27,Turquía,1.78,Mediocentro ofensivo,419,166,92,100,0,0,31.737'
AC Milan,Brahim Díaz,14,03/08/1999,21,España,1.71,Mediocentro ofensivo,128,197,29,20,0,0,7.505'
AC Milan,Daniel Maldini,0.8,11/10/2001,19,Italia,1.81,Mediocentro ofensivo,80,189,32,5,0,0,4.864'
AC Milan,Ante Rebic,32,21/09/1993,27,Croacia,1.85,Extremo izquierdo,245,160,61,30,0,0,15.115'
AC Milan,Jens Petter Hauge,10,12/10/1999,21,Noruega,1.84,Extremo izquierdo,148,195,40,31,0,0,6.519'
AC Milan,Alexis Saelemaekers,18,27/06/1999,21,Bélgica,1.8,Extremo derecho,117,162,6,17,0,0,7.415'
AC Milan,Samu Castillejo,10,18/01/1995,26,España,1.82,Extremo derecho,270,165,22,31,0,0,15.575'
AC Milan,Rafael Leão,28,10/06/1999,21,Portugal,1.88,Delantero centro,119,167,35,15,0,0,6.454'
AC Milan,Zlatan Ibrahimovic,5,03/10/1981,39,Suecia,1.95,Delantero centro,785,210,484,186,0,0,61.571'
AC Milan,Mario Mandzukic,1,21/05/1986,34,Croacia,1.9,Delantero centro,502,210,197,84,0,0,38.338'
Leicester City,Kasper Schmeichel,8,05/11/1986,34,Dinamarca,1.89,Portero,581,164,0,0,662,197,52.277'
Leicester City,Danny Ward,6,22/06/1993,27,Gales,1.91,Portero,139,181,0,0,167,39,12.455'
Leicester City,Eldin Jakupovic,0.4,02/10/1984,36,Suiza,1.91,Portero,272,156,1,0,331,94,24.451'
Leicester City,Caglar Söyüncü,40,23/05/1996,24,Turquía,1.87,Defensa central,171,151,4,2,0,0,14.178'
Leicester City,Wesley Fofana,30,17/12/2000,20,Francia,1.9,Defensa central,59,178,2,1,0,0,4.858'
Leicester City,Jonny Evans,7,03/01/1988,33,Irlanda del Norte,1.88,Defensa central,451,177,19,14,0,0,37.831'
Leicester City,Wes Morgan,0.5,21/01/1984,37,Jamaica,1.85,Defensa central,704,153,27,7,0,0,60.402'
Leicester City,Luke Thomas,3,10/06/2001,19,Inglaterra,1.81,Lateral izquierdo,87,156,9,7,0,0,6.967'
Leicester City,Christian Fuchs,1,07/04/1986,35,Austria,1.87,Lateral izquierdo,533,156,32,83,0,0,41.974'
Leicester City,Ricardo Pereira,30,06/10/1993,27,Portugal,1.75,Lateral derecho,276,185,20,30,0,0,22.495'
Leicester City,Timothy Castagne,24,05/12/1995,25,Bélgica,1.8,Lateral derecho,219,186,12,17,0,0,17.235'
Leicester City,James Justin,17,23/02/1998,23,Inglaterra,1.83,Lateral derecho,165,197,10,17,0,0,12.733'
Leicester City,Wilfred Ndidi,50,16/12/1996,24,Nigeria,1.83,Pivote,249,167,16,13,0,0,21.030'
Leicester City,Hamza Choudhury,8,01/10/1997,23,Inglaterra,1.78,Pivote,156,154,3,6,0,0,9.656'
Leicester City,Nampalys Mendy,8,23/06/1992,28,Senegal,1.67,Pivote,298,148,1,6,0,0,22.954'
Leicester City,Daniel Amartey,5,21/12/1994,26,Ghana,1.86,Pivote,190,173,9,6,0,0,14.813'
Leicester City,Youri Tielemans,55,07/05/1997,23,Bélgica,1.76,Mediocentro,348,174,57,52,0,0,26.774'
Leicester City,Dennis Praet,20,14/05/1994,26,Bélgica,1.81,Mediocentro,349,167,34,50,0,0,24.815'
Leicester City,Marc Albrighton,5,18/11/1989,31,Inglaterra,1.75,Interior derecho,377,154,30,69,0,0,24.195'
Leicester City,Harvey Barnes,35,09/12/1997,23,Inglaterra,1.82,Interior izquierdo,213,149,53,37,0,0,14.828'
Leicester City,James Maddison,60,23/11/1996,24,Inglaterra,1.75,Mediocentro ofensivo,222,156,51,46,0,0,15.771'
Leicester City,Cengiz Ünder,20,14/07/1997,23,Turquía,1.73,Extremo derecho,208,169,39,31,0,0,13.036'
Leicester City,Ayoze Pérez,18,29/07/1993,27,España,1.78,Mediapunta,313,145,76,29,0,0,20.563'
Leicester City,Kelechi Iheanacho,15,03/10/1996,24,Nigeria,1.85,Delantero centro,191,156,58,29,0,0,8.072'
Leicester City,Jamie Vardy,10,11/01/1987,34,Inglaterra,1.79,Delantero centro,382,166,178,76,0,0,29.894'
Everton FC,Jordan Pickford,22,07/03/1994,27,Inglaterra,1.85,Portero,335,126,0,0,458,99,29.995'
Everton FC,Robin Olsen,4,08/01/1990,31,Suecia,1.96,Portero,266,183,0,0,296,95,23.850'
Everton FC,João Virgínia,0.5,10/10/1999,21,Portugal,1.92,Portero,70,187,0,0,86,26,6.317'
Everton FC,Michael Keane,28,11/01/1993,28,Inglaterra,1.88,Defensa central,350,156,28,13,0,0,30.074'
Everton FC,Ben Godfrey,25,15/01/1998,23,Inglaterra,1.86,Defensa central,196,139,7,3,0,0,15.543'
Everton FC,Yerry Mina,20,23/09/1994,26,Colombia,1.95,Defensa central,206,175,25,5,0,0,16.246'
Everton FC,Mason Holgate,18,22/10/1996,24,Inglaterra,1.87,Defensa central,172,160,7,9,0,0,14.107'
Everton FC,Lucas Digne,35,20/07/1993,27,Francia,1.78,Lateral izquierdo,297,185,13,34,0,0,24.641'
Everton FC,Niels Nkounkou,3,01/11/2000,20,Francia,1.8,Lateral izquierdo,50,124,4,6,0,0,3.844'
Everton FC,Seamus Coleman,7,11/10/1988,32,Irlanda,1.77,Lateral derecho,420,156,29,36,0,0,33.879'
Everton FC,Jean-Philippe Gbamin,18,25/09/1995,25,Costa de Marfil,1.86,Pivote,196,127,7,6,0,0,15.678'
Everton FC,Abdoulaye Doucouré,25,01/01/1993,28,Francia,1.83,Mediocentro,278,133,36,32,0,0,21.995'
Everton FC,Allan,22,08/01/1991,30,Brasil,1.75,Mediocentro,409,183,14,32,0,0,28.940'
Everton FC,André Gomes,20,30/07/1993,27,Portugal,1.88,Mediocentro,290,191,25,25,0,0,18.820'
Everton FC,Tom Davies,16,30/06/1998,22,Inglaterra,1.8,Mediocentro,177,160,7,10,0,0,11.667'
Everton FC,Fabian Delph,5,21/11/1989,31,Inglaterra,1.74,Mediocentro,309,162,19,12,0,0,22.232'
Everton FC,James Rodríguez,30,12/07/1991,29,Colombia,1.81,Mediocentro ofensivo,410,220,110,132,0,0,27.393'
Everton FC,Gylfi Sigurdsson,15,08/09/1989,31,Islandia,1.86,Mediocentro ofensivo,471,143,115,76,0,0,33.790'
Everton FC,Richarlison,60,10/05/1997,23,Brasil,1.84,Extremo izquierdo,221,142,66,25,0,0,16.904'
Everton FC,Alex Iwobi,22,03/05/1996,24,Nigeria,1.83,Extremo izquierdo,265,169,35,38,0,0,16.744'
Everton FC,Bernard,12,08/09/1992,28,Brasil,1.64,Extremo izquierdo,311,187,52,61,0,0,19.340'
Everton FC,Joshua King,10,15/01/1992,29,Noruega,1.87,Mediapunta,329,129,72,41,0,0,21.566'
Everton FC,Dominic Calvert-Lewin,45,16/03/1997,24,Inglaterra,1.87,Delantero centro,213,151,63,18,0,0,12.887'
Wolverhampton Wanderers,Rui Patrício,10,15/02/1988,33,Portugal,1.9,Portero,583,180,0,0,586,215,52.512'
Wolverhampton Wanderers,John Ruddy,1,24/10/1986,34,Inglaterra,1.92,Portero,453,148,0,0,568,143,40.652'
Wolverhampton Wanderers,Conor Coady,22,25/02/1993,28,Inglaterra,1.85,Defensa central,416,157,20,15,0,0,35.406'
Wolverhampton Wanderers,Willy Boly,14,03/02/1991,30,Costa de Marfil,1.95,Defensa central,313,158,15,6,0,0,27.315'
Wolverhampton Wanderers,Romain Saïss,10,26/03/1990,31,Marruecos,1.88,Defensa central,318,148,17,11,0,0,25.603'
Wolverhampton Wanderers,Max Kilman,4.5,23/05/1997,23,Inglaterra,1.92,Defensa central,84,158,3,2,0,0,6.545'
Wolverhampton Wanderers,Rayan Aït Nouri,20,06/06/2001,19,Francia,1.79,Lateral izquierdo,40,118,1,5,0,0,2.539'
Wolverhampton Wanderers,Jonny Otto,15,03/03/1994,27,España,1.75,Lateral izquierdo,339,144,8,17,0,0,27.494'
Wolverhampton Wanderers,Marçal,1.8,19/02/1989,32,Brasil,1.78,Lateral izquierdo,262,155,3,18,0,0,21.293'
Wolverhampton Wanderers,Nélson Semedo,32,16/11/1993,27,Portugal,1.77,Lateral derecho,280,205,10,33,0,0,21.460'
Wolverhampton Wanderers,Ki-Jana Hoever,7,18/01/2002,19,Países Bajos,1.83,Lateral derecho,63,176,3,1,0,0,4.452'
Wolverhampton Wanderers,Rúben Neves,50,13/03/1997,24,Portugal,1.8,Pivote,262,185,24,13,0,0,18.687'
Wolverhampton Wanderers,Leander Dendoncker,32,15/04/1995,25,Bélgica,1.88,Pivote,302,178,21,5,0,0,24.199'
Wolverhampton Wanderers,Owen Otasowie,1.5,06/01/2001,20,Estados Unidos,1.88,Pivote,39,103,1,2,0,0,2.199'
Wolverhampton Wanderers,Morgan Gibbs-White,6,27/01/2000,21,Inglaterra,1.71,Mediocentro,99,162,4,7,0,0,4.261'
Wolverhampton Wanderers,Vitinha,6,13/02/2000,21,Portugal,1.72,Mediocentro,55,160,10,7,0,0,2.216'
Wolverhampton Wanderers,João Moutinho,4,08/09/1986,34,Portugal,1.7,Mediocentro,724,195,51,118,0,0,59.242'
Wolverhampton Wanderers,Pedro Neto,35,09/03/2000,21,Portugal,1.72,Extremo izquierdo,97,137,12,11,0,0,5.400'
Wolverhampton Wanderers,Adama Traoré,35,25/01/1996,25,España,1.78,Extremo derecho,285,130,25,52,0,0,17.509'
Wolverhampton Wanderers,Daniel Podence,25,21/10/1995,25,Portugal,1.65,Extremo derecho,239,181,30,42,0,0,15.656'
Wolverhampton Wanderers,Raúl Jiménez,35,05/05/1991,29,México,1.88,Delantero centro,361,189,117,51,0,0,21.919'
Wolverhampton Wanderers,Fábio Silva,25,19/07/2002,18,Portugal,1.85,Delantero centro,62,174,13,6,0,0,2.831'
Wolverhampton Wanderers,Willian José,20,23/11/1991,29,Brasil,1.89,Delantero centro,359,133,101,24,0,0,22.105'
Wolverhampton Wanderers,Renat Dadashov,0.3,17/05/1999,21,Azerbaiyán,1.86,,0,0,0,0,0,0,0
